    #kx         ky         Energy       Sx      Sy      Sz
    #Grid-Size:    27   43
    #Band-Index:   40
   -0.220255   -0.654830   -3.092755   0.180   0.122  -0.102
   -0.220255   -0.623647   -3.145857   0.188   0.062  -0.164
   -0.220255   -0.592465   -3.145857  -0.188   0.062   0.164
   -0.220255   -0.561283   -3.092755  -0.180   0.122   0.102
   -0.220255   -0.530100   -3.034424  -0.160   0.176   0.044
   -0.220255   -0.498918   -2.972399  -0.134   0.222  -0.006
   -0.220255   -0.467736   -2.907857  -0.102   0.258  -0.050
   -0.220255   -0.436553   -2.841663  -0.066   0.290  -0.090
   -0.220255   -0.405371   -2.774471  -0.030   0.316  -0.122
   -0.220255   -0.374188   -2.706828   0.002   0.336  -0.152
   -0.220255   -0.343006   -2.639264   0.024   0.346  -0.174
   -0.220255   -0.311824   -2.572279   0.016   0.324  -0.186
   -0.220255   -0.280641   -2.506186  -0.048   0.232  -0.164
   -0.220255   -0.249459   -2.441346  -0.162   0.060  -0.102
   -0.220255   -0.218277   -2.379592  -0.254  -0.104  -0.026
   -0.220255   -0.187094   -2.324163  -0.298  -0.208   0.034
   -0.220255   -0.155912   -2.277945  -0.310  -0.262   0.076
   -0.220255   -0.124729   -2.242755  -0.302  -0.284   0.108
   -0.220255   -0.093547   -2.219340  -0.284  -0.282   0.132
   -0.220255   -0.062365   -2.207548  -0.262  -0.264   0.150
   -0.220255   -0.031182   -2.206526  -0.232  -0.232   0.164
   -0.188790    0.000000   -2.234925   0.000  -0.084   0.000
   -0.188790    0.031182   -2.221948   0.140  -0.100  -0.066
   -0.188790    0.062365   -2.199158   0.174  -0.168  -0.102
   -0.188790    0.093547   -2.176101   0.198  -0.226  -0.126
   -0.188790    0.124729   -2.160539   0.216  -0.272  -0.132
   -0.188790    0.155912   -2.156833   0.236  -0.304  -0.124
   -0.188790    0.187094   -2.166551   0.256  -0.324  -0.108
   -0.188790    0.218277   -2.189701   0.274  -0.328  -0.084
   -0.188790    0.249459   -2.225388   0.284  -0.306  -0.056
   -0.188790    0.280641   -2.271930   0.272  -0.234  -0.010
   -0.188790    0.311824   -2.326612   0.200  -0.072   0.062
   -0.188790    0.343006   -2.385669   0.072   0.164   0.138
   -0.188790    0.374188   -2.446673  -0.004   0.306   0.164
   -0.188790    0.405371   -2.509496   0.002   0.334   0.150
   -0.188790    0.436553   -2.573831   0.040   0.324   0.124
   -0.188790    0.467736   -2.639048   0.086   0.300   0.094
   -0.188790    0.498918   -2.704647   0.132   0.274   0.060
   -0.188790    0.530100   -2.770305   0.174   0.246   0.022
   -0.188790    0.561283   -2.835782   0.206   0.220  -0.016
   -0.188790    0.592465   -2.900790   0.230   0.192  -0.054
   -0.188790    0.623647   -2.964899   0.248   0.160  -0.092
   -0.188790    0.654830   -3.027454   0.258   0.124  -0.132
   -0.188790   -0.654830   -3.087516   0.260   0.086  -0.170
   -0.188790   -0.623647   -3.143818   0.254   0.042  -0.208
   -0.188790   -0.592465   -3.143818  -0.254   0.042   0.208
   -0.188790   -0.561283   -3.087516  -0.260   0.086   0.170
   -0.188790   -0.530100   -3.027454  -0.258   0.124   0.132
   -0.188790   -0.498918   -2.964899  -0.248   0.160   0.092
   -0.188790   -0.467736   -2.900790  -0.230   0.192   0.054
   -0.188790   -0.436553   -2.835782  -0.206   0.220   0.016
   -0.188790   -0.405371   -2.770305  -0.174   0.246  -0.022
   -0.188790   -0.374188   -2.704647  -0.132   0.274  -0.060
   -0.188790   -0.343006   -2.639048  -0.086   0.300  -0.094
   -0.188790   -0.311824   -2.573831  -0.040   0.324  -0.124
   -0.188790   -0.280641   -2.509496  -0.002   0.334  -0.150
   -0.188790   -0.249459   -2.446673   0.004   0.306  -0.164
   -0.188790   -0.218277   -2.385669  -0.072   0.164  -0.138
   -0.188790   -0.187094   -2.326612  -0.200  -0.072  -0.062
   -0.188790   -0.155912   -2.271930  -0.272  -0.234   0.010
   -0.188790   -0.124729   -2.225388  -0.284  -0.306   0.056
   -0.188790   -0.093547   -2.189701  -0.274  -0.328   0.084
   -0.188790   -0.062365   -2.166551  -0.256  -0.324   0.108
   -0.188790   -0.031182   -2.156833  -0.236  -0.304   0.124
   -0.157325    0.000000   -2.196013   0.000  -0.080   0.000
   -0.157325    0.031182   -2.175391   0.210  -0.156  -0.032
   -0.157325    0.062365   -2.145073   0.208  -0.238  -0.080
   -0.157325    0.093547   -2.120656   0.204  -0.292  -0.104
   -0.157325    0.124729   -2.111052   0.206  -0.328  -0.102
   -0.157325    0.155912   -2.118648   0.220  -0.352  -0.082
   -0.157325    0.187094   -2.142229   0.238  -0.358  -0.056
   -0.157325    0.218277   -2.179225   0.248  -0.332  -0.018
   -0.157325    0.249459   -2.226528   0.222  -0.228   0.034
   -0.157325    0.280641   -2.280208   0.108   0.022   0.110
   -0.157325    0.311824   -2.336437  -0.010   0.258   0.152
   -0.157325    0.343006   -2.394389  -0.020   0.326   0.150
   -0.157325    0.374188   -2.453834   0.026   0.320   0.130
   -0.157325    0.405371   -2.514090   0.088   0.294   0.104
   -0.157325    0.436553   -2.574722   0.150   0.266   0.072
   -0.157325    0.467736   -2.635647   0.198   0.242   0.036
   -0.157325    0.498918   -2.696987   0.238   0.218   0.000
   -0.157325    0.530100   -2.758885   0.268   0.196  -0.034
   -0.157325    0.561283   -2.821386   0.288   0.176  -0.068
   -0.157325    0.592465   -2.884363   0.302   0.154  -0.102
   -0.157325    0.623647   -2.947483   0.308   0.128  -0.134
   -0.157325    0.654830   -3.010185   0.310   0.104  -0.164
   -0.157325   -0.654830   -3.071664   0.304   0.074  -0.194
   -0.157325   -0.623647   -3.130831   0.296   0.040  -0.222
   -0.157325   -0.592465   -3.130831  -0.296   0.040   0.222
   -0.157325   -0.561283   -3.071664  -0.304   0.074   0.194
   -0.157325   -0.530100   -3.010185  -0.310   0.104   0.164
   -0.157325   -0.498918   -2.947483  -0.308   0.128   0.134
   -0.157325   -0.467736   -2.884363  -0.302   0.154   0.102
   -0.157325   -0.436553   -2.821386  -0.288   0.176   0.068
   -0.157325   -0.405371   -2.758885  -0.268   0.196   0.034
   -0.157325   -0.374188   -2.696987  -0.238   0.218   0.000
   -0.157325   -0.343006   -2.635647  -0.198   0.242  -0.036
   -0.157325   -0.311824   -2.574722  -0.150   0.266  -0.072
   -0.157325   -0.280641   -2.514090  -0.088   0.294  -0.104
   -0.157325   -0.249459   -2.453834  -0.026   0.320  -0.130
   -0.157325   -0.218277   -2.394389   0.020   0.326  -0.150
   -0.157325   -0.187094   -2.336437   0.010   0.258  -0.152
   -0.157325   -0.155912   -2.280208  -0.108   0.022  -0.110
   -0.157325   -0.124729   -2.226528  -0.222  -0.228  -0.034
   -0.157325   -0.093547   -2.179225  -0.248  -0.332   0.018
   -0.157325   -0.062365   -2.142229  -0.238  -0.358   0.056
   -0.157325   -0.031182   -2.118648  -0.220  -0.352   0.082
   -0.125860    0.000000   -2.153174   0.000  -0.062   0.000
   -0.125860    0.031182   -2.122734   0.206  -0.216  -0.042
   -0.125860    0.062365   -2.087763   0.184  -0.296  -0.088
   -0.125860    0.093547   -2.069736   0.162  -0.338  -0.090
   -0.125860    0.124729   -2.074111   0.156  -0.364  -0.064
   -0.125860    0.155912   -2.098230   0.170  -0.376  -0.020
   -0.125860    0.187094   -2.137064   0.184  -0.342   0.030
   -0.125860    0.218277   -2.185489   0.148  -0.182   0.094
   -0.125860    0.249459   -2.238690   0.018   0.124   0.138
   -0.125860    0.280641   -2.294165  -0.052   0.298   0.144
   -0.125860    0.311824   -2.350959  -0.026   0.322   0.138
   -0.125860    0.343006   -2.407796   0.044   0.296   0.126
   -0.125860    0.374188   -2.463920   0.120   0.262   0.106
   -0.125860    0.405371   -2.519327   0.186   0.230   0.076
   -0.125860    0.436553   -2.574489   0.238   0.206   0.042
   -0.125860    0.467736   -2.630044   0.278   0.188   0.006
   -0.125860    0.498918   -2.686566   0.306   0.170  -0.032
   -0.125860    0.530100   -2.744444   0.326   0.156  -0.066
   -0.125860    0.561283   -2.803827   0.336   0.140  -0.096
   -0.125860    0.592465   -2.864629   0.342   0.124  -0.126
   -0.125860    0.623647   -2.926540   0.344   0.108  -0.154
   -0.125860    0.654830   -2.989038   0.340   0.086  -0.180
   -0.125860   -0.654830   -3.051402   0.334   0.068  -0.206
   -0.125860   -0.623647   -3.112694   0.322   0.042  -0.228
   -0.125860   -0.592465   -3.112694  -0.322   0.042   0.228
   -0.125860   -0.561283   -3.051402  -0.334   0.068   0.206
   -0.125860   -0.530100   -2.989038  -0.340   0.086   0.180
   -0.125860   -0.498918   -2.926540  -0.344   0.108   0.154
   -0.125860   -0.467736   -2.864629  -0.342   0.124   0.126
   -0.125860   -0.436553   -2.803827  -0.336   0.140   0.096
   -0.125860   -0.405371   -2.744444  -0.326   0.156   0.066
   -0.125860   -0.374188   -2.686566  -0.306   0.170   0.032
   -0.125860   -0.343006   -2.630044  -0.278   0.188  -0.006
   -0.125860   -0.311824   -2.574489  -0.238   0.206  -0.042
   -0.125860   -0.280641   -2.519327  -0.186   0.230  -0.076
   -0.125860   -0.249459   -2.463920  -0.120   0.262  -0.106
   -0.125860   -0.218277   -2.407796  -0.044   0.296  -0.126
   -0.125860   -0.187094   -2.350959   0.026   0.322  -0.138
   -0.125860   -0.155912   -2.294165   0.052   0.298  -0.144
   -0.125860   -0.124729   -2.238690  -0.018   0.124  -0.138
   -0.125860   -0.093547   -2.185489  -0.148  -0.182  -0.094
   -0.125860   -0.062365   -2.137064  -0.184  -0.342  -0.030
   -0.125860   -0.031182   -2.098230  -0.170  -0.376   0.020
   -0.094395    0.000000   -2.101300   0.000  -0.098   0.000
   -0.094395    0.031182   -2.061323   0.154  -0.276  -0.086
   -0.094395    0.062365   -2.030617   0.106  -0.340  -0.094
   -0.094395    0.093547   -2.029302   0.064  -0.364  -0.052
   -0.094395    0.124729   -2.053208   0.054  -0.360   0.012
   -0.094395    0.155912   -2.094061   0.058  -0.314   0.084
   -0.094395    0.187094   -2.144852   0.048  -0.140   0.150
   -0.094395    0.218277   -2.200186  -0.022   0.160   0.160
   -0.094395    0.249459   -2.257187  -0.060   0.310   0.136
   -0.094395    0.280641   -2.314189  -0.024   0.306   0.130
   -0.094395    0.311824   -2.369567   0.050   0.262   0.128
   -0.094395    0.343006   -2.422633   0.130   0.220   0.116
   -0.094395    0.374188   -2.473657   0.202   0.190   0.094
   -0.094395    0.405371   -2.523506   0.258   0.170   0.062
   -0.094395    0.436553   -2.573242   0.302   0.152   0.026
   -0.094395    0.467736   -2.623854   0.330   0.140  -0.012
   -0.094395    0.498918   -2.676097   0.350   0.130  -0.046
   -0.094395    0.530100   -2.730436   0.360   0.118  -0.080
   -0.094395    0.561283   -2.787046   0.366   0.108  -0.110
   -0.094395    0.592465   -2.845842   0.368   0.096  -0.138
   -0.094395    0.623647   -2.906517   0.366   0.084  -0.164
   -0.094395    0.654830   -2.968576   0.362   0.070  -0.186
   -0.094395   -0.654830   -3.031360   0.352   0.054  -0.208
   -0.094395   -0.623647   -3.094054   0.340   0.036  -0.230
   -0.094395   -0.592465   -3.094054  -0.340   0.036   0.230
   -0.094395   -0.561283   -3.031360  -0.352   0.054   0.208
   -0.094395   -0.530100   -2.968576  -0.362   0.070   0.186
   -0.094395   -0.498918   -2.906517  -0.366   0.084   0.164
   -0.094395   -0.467736   -2.845842  -0.368   0.096   0.138
   -0.094395   -0.436553   -2.787046  -0.366   0.108   0.110
   -0.094395   -0.405371   -2.730436  -0.360   0.118   0.080
   -0.094395   -0.374188   -2.676097  -0.350   0.130   0.046
   -0.094395   -0.343006   -2.623854  -0.330   0.140   0.012
   -0.094395   -0.311824   -2.573242  -0.302   0.152  -0.026
   -0.094395   -0.280641   -2.523506  -0.258   0.170  -0.062
   -0.094395   -0.249459   -2.473657  -0.202   0.190  -0.094
   -0.094395   -0.218277   -2.422633  -0.130   0.220  -0.116
   -0.094395   -0.187094   -2.369567  -0.050   0.262  -0.128
   -0.094395   -0.155912   -2.314189   0.024   0.306  -0.130
   -0.094395   -0.124729   -2.257187   0.060   0.310  -0.136
   -0.094395   -0.093547   -2.200186   0.022   0.160  -0.160
   -0.094395   -0.062365   -2.144852  -0.048  -0.140  -0.150
   -0.094395   -0.031182   -2.094061  -0.058  -0.314  -0.084
   -0.062930    0.000000   -2.034241   0.000  -0.352   0.000
   -0.062930    0.031182   -1.987337   0.062  -0.332  -0.130
   -0.062930    0.062365   -1.977616  -0.022  -0.348  -0.060
   -0.062930    0.093547   -2.001220  -0.068  -0.318   0.040
   -0.062930    0.124729   -2.044258  -0.072  -0.252   0.124
   -0.062930    0.155912   -2.098502  -0.050  -0.132   0.182
   -0.062930    0.187094   -2.159169  -0.036   0.082   0.188
   -0.062930    0.218277   -2.221028  -0.044   0.296   0.142
   -0.062930    0.249459   -2.279550  -0.012   0.284   0.118
   -0.062930    0.280641   -2.334575   0.054   0.218   0.124
   -0.062930    0.311824   -2.386199   0.128   0.172   0.126
   -0.062930    0.343006   -2.434703   0.198   0.140   0.114
   -0.062930    0.374188   -2.480954   0.260   0.122   0.088
   -0.062930    0.405371   -2.526184   0.306   0.110   0.054
   -0.062930    0.436553   -2.571672   0.340   0.100   0.018
   -0.062930    0.467736   -2.618513   0.364   0.092  -0.020
   -0.062930    0.498918   -2.667511   0.376   0.086  -0.054
   -0.062930    0.530100   -2.719144   0.382   0.080  -0.088
   -0.062930    0.561283   -2.773592   0.384   0.072  -0.118
   -0.062930    0.592465   -2.830770   0.384   0.066  -0.144
   -0.062930    0.623647   -2.890377   0.380   0.058  -0.168
   -0.062930    0.654830   -2.951942   0.372   0.050  -0.190
   -0.062930   -0.654830   -3.014851   0.364   0.038  -0.212
   -0.062930   -0.623647   -3.078372   0.354   0.028  -0.232
   -0.062930   -0.592465   -3.078372  -0.354   0.028   0.232
   -0.062930   -0.561283   -3.014851  -0.364   0.038   0.212
   -0.062930   -0.530100   -2.951942  -0.372   0.050   0.190
   -0.062930   -0.498918   -2.890377  -0.380   0.058   0.168
   -0.062930   -0.467736   -2.830770  -0.384   0.066   0.144
   -0.062930   -0.436553   -2.773592  -0.384   0.072   0.118
   -0.062930   -0.405371   -2.719144  -0.382   0.080   0.088
   -0.062930   -0.374188   -2.667511  -0.376   0.086   0.054
   -0.062930   -0.343006   -2.618513  -0.364   0.092   0.020
   -0.062930   -0.311824   -2.571672  -0.340   0.100  -0.018
   -0.062930   -0.280641   -2.526184  -0.306   0.110  -0.054
   -0.062930   -0.249459   -2.480954  -0.260   0.122  -0.088
   -0.062930   -0.218277   -2.434703  -0.198   0.140  -0.114
   -0.062930   -0.187094   -2.386199  -0.128   0.172  -0.126
   -0.062930   -0.155912   -2.334575  -0.054   0.218  -0.124
   -0.062930   -0.124729   -2.279550   0.012   0.284  -0.118
   -0.062930   -0.093547   -2.221028   0.044   0.296  -0.142
   -0.062930   -0.062365   -2.159169   0.036   0.082  -0.188
   -0.062930   -0.031182   -2.098502   0.050  -0.132  -0.182
   -0.031465    0.000000   -1.913314   0.000  -0.382   0.000
   -0.031465    0.031182   -1.905132  -0.098  -0.318  -0.108
   -0.031465    0.062365   -1.934811  -0.174  -0.250   0.056
   -0.031465    0.093547   -1.983704  -0.170  -0.180   0.158
   -0.031465    0.124729   -2.041877  -0.130  -0.110   0.210
   -0.031465    0.155912   -2.106749  -0.070  -0.022   0.220
   -0.031465    0.187094   -2.175895  -0.016   0.128   0.188
   -0.031465    0.218277   -2.240908   0.020   0.250   0.112
   -0.031465    0.249459   -2.296871   0.056   0.156   0.110
   -0.031465    0.280641   -2.348713   0.112   0.108   0.126
   -0.031465    0.311824   -2.397010   0.176   0.082   0.128
   -0.031465    0.343006   -2.442196   0.238   0.068   0.114
   -0.031465    0.374188   -2.485281   0.290   0.060   0.086
   -0.031465    0.405371   -2.527590   0.330   0.054   0.050
   -0.031465    0.436553   -2.570450   0.362   0.050   0.014
   -0.031465    0.467736   -2.614973   0.380   0.046  -0.024
   -0.031465    0.498918   -2.661968   0.392   0.042  -0.060
   -0.031465    0.530100   -2.711914   0.394   0.040  -0.092
   -0.031465    0.561283   -2.764991   0.396   0.038  -0.120
   -0.031465    0.592465   -2.821117   0.392   0.034  -0.146
   -0.031465    0.623647   -2.880002   0.388   0.030  -0.172
   -0.031465    0.654830   -2.941188   0.380   0.024  -0.192
   -0.031465   -0.654830   -3.004092   0.370   0.020  -0.214
   -0.031465   -0.623647   -3.068031   0.358   0.016  -0.232
   -0.031465   -0.592465   -3.068031  -0.358   0.016   0.232
   -0.031465   -0.561283   -3.004092  -0.370   0.020   0.214
   -0.031465   -0.530100   -2.941188  -0.380   0.024   0.192
   -0.031465   -0.498918   -2.880002  -0.388   0.030   0.172
   -0.031465   -0.467736   -2.821117  -0.392   0.034   0.146
   -0.031465   -0.436553   -2.764991  -0.396   0.038   0.120
   -0.031465   -0.405371   -2.711914  -0.394   0.040   0.092
   -0.031465   -0.374188   -2.661968  -0.392   0.042   0.060
   -0.031465   -0.343006   -2.614973  -0.380   0.046   0.024
   -0.031465   -0.311824   -2.570450  -0.362   0.050  -0.014
   -0.031465   -0.280641   -2.527590  -0.330   0.054  -0.050
   -0.031465   -0.249459   -2.485281  -0.290   0.060  -0.086
   -0.031465   -0.218277   -2.442196  -0.238   0.068  -0.114
   -0.031465   -0.187094   -2.397010  -0.176   0.082  -0.128
   -0.031465   -0.155912   -2.348713  -0.112   0.108  -0.126
   -0.031465   -0.124729   -2.296871  -0.056   0.156  -0.110
   -0.031465   -0.093547   -2.240908  -0.020   0.250  -0.112
   -0.031465   -0.062365   -2.175895   0.016   0.128  -0.188
   -0.031465   -0.031182   -2.106749   0.070  -0.022  -0.220
