  #K-Path    Energy        Bi        As
# NKPTS & NBANDS:  80  77
# Band-Index:    1
    2.974  -34.9957     0.000     0.998
 
# Band-Index:   10
    2.974  -34.9957     0.000     0.998
    2.933  -34.9957     0.000     0.998
    2.892  -34.9957     0.000     0.998
    2.851  -34.9958     0.000     0.998
    2.810  -34.9958     0.000     0.998
    2.769  -34.9958     0.000     0.998
    2.727  -34.9959     0.000     0.998
    2.686  -34.9959     0.000     0.998
    2.645  -34.9959     0.000     0.998
    2.604  -34.9960     0.000     0.998
    2.563  -34.9960     0.000     0.998
    2.522  -34.9960     0.000     0.998
    2.480  -34.9961     0.000     0.998
    2.439  -34.9961     0.000     0.998
    2.398  -34.9962     0.000     0.998
    2.357  -34.9962     0.000     0.998
    2.316  -34.9962     0.000     0.998
    2.275  -34.9962     0.000     0.998
    2.233  -34.9962     0.000     0.998
    2.192  -34.9962     0.000     0.998
    2.192  -34.9962     0.000     0.998
    2.145  -34.9962     0.000     0.998
    2.099  -34.9962     0.000     0.998
    2.052  -34.9962     0.000     0.998
    2.005  -34.9962     0.000     0.998
    1.959  -34.9961     0.000     0.998
    1.912  -34.9961     0.000     0.998
    1.865  -34.9961     0.000     0.998
    1.819  -34.9960     0.000     0.998
    1.772  -34.9960     0.000     0.998
    1.725  -34.9959     0.000     0.998
    1.679  -34.9959     0.000     0.998
    1.632  -34.9959     0.000     0.998
    1.585  -34.9958     0.000     0.998
    1.539  -34.9958     0.000     0.998
    1.492  -34.9958     0.000     0.998
    1.445  -34.9958     0.000     0.998
    1.399  -34.9957     0.000     0.998
    1.352  -34.9957     0.000     0.998
    1.305  -34.9957     0.000     0.999
    1.305  -34.9957     0.000     0.999
    1.258  -34.9957     0.000     0.998
    1.212  -34.9957     0.000     0.998
    1.165  -34.9958     0.000     0.998
    1.118  -34.9958     0.000     0.998
    1.072  -34.9958     0.000     0.998
    1.025  -34.9958     0.000     0.998
    0.978  -34.9959     0.000     0.998
    0.932  -34.9959     0.000     0.998
    0.885  -34.9959     0.000     0.998
    0.838  -34.9960     0.000     0.998
    0.792  -34.9960     0.000     0.998
    0.745  -34.9961     0.000     0.998
    0.698  -34.9961     0.000     0.998
    0.652  -34.9961     0.000     0.998
    0.605  -34.9962     0.000     0.998
    0.558  -34.9962     0.000     0.998
    0.511  -34.9962     0.000     0.998
    0.465  -34.9962     0.000     0.998
    0.418  -34.9962     0.000     0.998
    0.418  -34.9962     0.000     0.998
    0.396  -34.9962     0.000     0.998
    0.374  -34.9962     0.000     0.998
    0.352  -34.9962     0.000     0.998
    0.330  -34.9962     0.000     0.998
    0.308  -34.9962     0.000     0.998
    0.286  -34.9962     0.000     0.998
    0.264  -34.9962     0.000     0.998
    0.242  -34.9962     0.000     0.998
    0.220  -34.9962     0.000     0.998
    0.198  -34.9962     0.000     0.998
    0.176  -34.9962     0.000     0.998
    0.154  -34.9962     0.000     0.998
    0.132  -34.9962     0.000     0.998
    0.110  -34.9962     0.000     0.998
    0.088  -34.9962     0.000     0.998
    0.066  -34.9962     0.000     0.998
    0.044  -34.9961     0.000     0.998
    0.022  -34.9961     0.000     0.998
    0.000  -34.9961     0.000     0.998
 
# Band-Index:   11
    0.000  -34.9961     0.000     0.998
    0.022  -34.9961     0.000     0.998
    0.044  -34.9961     0.000     0.998
    0.066  -34.9961     0.000     0.998
    0.088  -34.9961     0.000     0.998
    0.110  -34.9961     0.000     0.998
    0.132  -34.9960     0.000     0.998
    0.154  -34.9960     0.000     0.998
    0.176  -34.9960     0.000     0.998
    0.198  -34.9960     0.000     0.998
    0.220  -34.9960     0.000     0.998
    0.242  -34.9960     0.000     0.998
    0.264  -34.9960     0.000     0.998
    0.286  -34.9960     0.000     0.998
    0.308  -34.9959     0.000     0.998
    0.330  -34.9959     0.000     0.998
    0.352  -34.9959     0.000     0.998
    0.374  -34.9959     0.000     0.998
    0.396  -34.9959     0.000     0.998
    0.418  -34.9959     0.000     0.998
    0.418  -34.9959     0.000     0.998
    0.465  -34.9959     0.000     0.998
    0.511  -34.9959     0.000     0.998
    0.558  -34.9959     0.000     0.998
    0.605  -34.9959     0.000     0.998
    0.652  -34.9960     0.000     0.998
    0.698  -34.9959     0.000     0.998
    0.745  -34.9959     0.000     0.998
    0.792  -34.9959     0.000     0.998
    0.838  -34.9959     0.000     0.998
    0.885  -34.9959     0.000     0.998
    0.932  -34.9959     0.000     0.998
    0.978  -34.9958     0.000     0.998
    1.025  -34.9958     0.000     0.998
    1.072  -34.9958     0.000     0.998
    1.118  -34.9957     0.000     0.998
    1.165  -34.9957     0.000     0.998
    1.212  -34.9957     0.000     0.998
    1.258  -34.9957     0.000     0.998
    1.305  -34.9957     0.000     0.999
    1.305  -34.9957     0.000     0.999
    1.352  -34.9957     0.000     0.998
    1.399  -34.9957     0.000     0.998
    1.445  -34.9957     0.000     0.998
    1.492  -34.9957     0.000     0.998
    1.539  -34.9958     0.000     0.998
    1.585  -34.9958     0.000     0.998
    1.632  -34.9958     0.000     0.998
    1.679  -34.9959     0.000     0.998
    1.725  -34.9959     0.000     0.998
    1.772  -34.9959     0.000     0.998
    1.819  -34.9959     0.000     0.998
    1.865  -34.9959     0.000     0.998
    1.912  -34.9959     0.000     0.998
    1.959  -34.9960     0.000     0.998
    2.005  -34.9959     0.000     0.998
    2.052  -34.9959     0.000     0.998
    2.099  -34.9959     0.000     0.998
    2.145  -34.9959     0.000     0.998
    2.192  -34.9959     0.000     0.998
    2.192  -34.9959     0.000     0.998
    2.233  -34.9959     0.000     0.998
    2.275  -34.9960     0.000     0.998
    2.316  -34.9960     0.000     0.998
    2.357  -34.9960     0.000     0.998
    2.398  -34.9960     0.000     0.998
    2.439  -34.9959     0.000     0.998
    2.480  -34.9959     0.000     0.998
    2.522  -34.9959     0.000     0.998
    2.563  -34.9959     0.000     0.998
    2.604  -34.9959     0.000     0.998
    2.645  -34.9958     0.000     0.998
    2.686  -34.9958     0.000     0.998
    2.727  -34.9958     0.000     0.998
    2.769  -34.9958     0.000     0.998
    2.810  -34.9957     0.000     0.998
    2.851  -34.9957     0.000     0.998
    2.892  -34.9957     0.000     0.998
    2.933  -34.9957     0.000     0.998
    2.974  -34.9957     0.000     0.998
 
# Band-Index:   12
    2.974  -34.9957     0.000     0.998
    2.933  -34.9957     0.000     0.998
    2.892  -34.9957     0.000     0.998
    2.851  -34.9957     0.000     0.998
    2.810  -34.9957     0.000     0.998
    2.769  -34.9957     0.000     0.998
    2.727  -34.9957     0.000     0.998
    2.686  -34.9957     0.000     0.998
    2.645  -34.9958     0.000     0.998
    2.604  -34.9958     0.000     0.998
    2.563  -34.9958     0.000     0.998
    2.522  -34.9958     0.000     0.998
    2.480  -34.9959     0.000     0.998
    2.439  -34.9959     0.000     0.998
    2.398  -34.9959     0.000     0.998
    2.357  -34.9959     0.000     0.998
    2.316  -34.9959     0.000     0.998
    2.275  -34.9959     0.000     0.998
    2.233  -34.9959     0.000     0.998
    2.192  -34.9959     0.000     0.998
    2.192  -34.9959     0.000     0.998
    2.145  -34.9959     0.000     0.998
    2.099  -34.9959     0.000     0.998
    2.052  -34.9959     0.000     0.998
    2.005  -34.9959     0.000     0.998
    1.959  -34.9959     0.000     0.998
    1.912  -34.9959     0.000     0.998
    1.865  -34.9959     0.000     0.998
    1.819  -34.9959     0.000     0.998
    1.772  -34.9958     0.000     0.998
    1.725  -34.9958     0.000     0.998
    1.679  -34.9958     0.000     0.998
    1.632  -34.9958     0.000     0.998
    1.585  -34.9958     0.000     0.998
    1.539  -34.9958     0.000     0.998
    1.492  -34.9957     0.000     0.998
    1.445  -34.9957     0.000     0.998
    1.399  -34.9957     0.000     0.998
    1.352  -34.9957     0.000     0.998
    1.305  -34.9957     0.000     0.999
    1.305  -34.9957     0.000     0.998
    1.258  -34.9957     0.000     0.998
    1.212  -34.9957     0.000     0.998
    1.165  -34.9957     0.000     0.998
    1.118  -34.9957     0.000     0.998
    1.072  -34.9958     0.000     0.998
    1.025  -34.9958     0.000     0.998
    0.978  -34.9958     0.000     0.998
    0.932  -34.9958     0.000     0.998
    0.885  -34.9958     0.000     0.998
    0.838  -34.9958     0.000     0.998
    0.792  -34.9959     0.000     0.998
    0.745  -34.9959     0.000     0.998
    0.698  -34.9959     0.000     0.998
    0.652  -34.9959     0.000     0.998
    0.605  -34.9959     0.000     0.998
    0.558  -34.9959     0.000     0.998
    0.511  -34.9959     0.000     0.998
    0.465  -34.9959     0.000     0.998
    0.418  -34.9959     0.000     0.998
    0.418  -34.9959     0.000     0.998
    0.396  -34.9959     0.000     0.998
    0.374  -34.9959     0.000     0.998
    0.352  -34.9959     0.000     0.998
    0.330  -34.9959     0.000     0.998
    0.308  -34.9959     0.000     0.998
    0.286  -34.9959     0.000     0.998
    0.264  -34.9960     0.000     0.998
    0.242  -34.9960     0.000     0.998
    0.220  -34.9960     0.000     0.998
    0.198  -34.9960     0.000     0.998
    0.176  -34.9960     0.000     0.998
    0.154  -34.9960     0.000     0.998
    0.132  -34.9960     0.000     0.998
    0.110  -34.9960     0.000     0.998
    0.088  -34.9961     0.000     0.998
    0.066  -34.9961     0.000     0.998
    0.044  -34.9961     0.000     0.998
    0.022  -34.9961     0.000     0.998
    0.000  -34.9961     0.000     0.998
 
# Band-Index:   13
    0.000  -34.9734     0.000     0.998
    0.022  -34.9734     0.000     0.998
    0.044  -34.9734     0.000     0.998
    0.066  -34.9734     0.000     0.998
    0.088  -34.9734     0.000     0.998
    0.110  -34.9734     0.000     0.998
    0.132  -34.9734     0.000     0.998
    0.154  -34.9734     0.000     0.998
    0.176  -34.9734     0.000     0.998
    0.198  -34.9734     0.000     0.998
    0.220  -34.9734     0.000     0.998
    0.242  -34.9734     0.000     0.998
    0.264  -34.9734     0.000     0.998
    0.286  -34.9734     0.000     0.998
    0.308  -34.9734     0.000     0.998
    0.330  -34.9734     0.000     0.998
    0.352  -34.9734     0.000     0.998
    0.374  -34.9734     0.000     0.998
    0.396  -34.9734     0.000     0.998
    0.418  -34.9734     0.000     0.998
    0.418  -34.9734     0.000     0.998
    0.465  -34.9734     0.000     0.998
    0.511  -34.9734     0.000     0.998
    0.558  -34.9734     0.000     0.998
    0.605  -34.9734     0.000     0.998
    0.652  -34.9734     0.000     0.998
    0.698  -34.9734     0.000     0.998
    0.745  -34.9734     0.000     0.998
    0.792  -34.9734     0.000     0.998
    0.838  -34.9734     0.000     0.998
    0.885  -34.9734     0.000     0.998
    0.932  -34.9734     0.000     0.998
    0.978  -34.9734     0.000     0.998
    1.025  -34.9734     0.000     0.998
    1.072  -34.9734     0.000     0.998
    1.118  -34.9734     0.000     0.998
    1.165  -34.9734     0.000     0.998
    1.212  -34.9734     0.000     0.998
    1.258  -34.9734     0.000     0.998
    1.305  -34.9734     0.000     0.999
    1.305  -34.9734     0.000     0.999
    1.352  -34.9734     0.000     0.998
    1.399  -34.9734     0.000     0.998
    1.445  -34.9734     0.000     0.998
    1.492  -34.9734     0.000     0.998
    1.539  -34.9734     0.000     0.998
    1.585  -34.9734     0.000     0.998
    1.632  -34.9734     0.000     0.998
    1.679  -34.9734     0.000     0.998
    1.725  -34.9734     0.000     0.998
    1.772  -34.9734     0.000     0.998
    1.819  -34.9734     0.000     0.998
    1.865  -34.9734     0.000     0.998
    1.912  -34.9734     0.000     0.998
    1.959  -34.9734     0.000     0.998
    2.005  -34.9734     0.000     0.998
    2.052  -34.9734     0.000     0.998
    2.099  -34.9734     0.000     0.998
    2.145  -34.9734     0.000     0.998
    2.192  -34.9734     0.000     0.998
    2.192  -34.9734     0.000     0.998
    2.233  -34.9734     0.000     0.998
    2.275  -34.9734     0.000     0.998
    2.316  -34.9734     0.000     0.998
    2.357  -34.9734     0.000     0.998
    2.398  -34.9734     0.000     0.998
    2.439  -34.9734     0.000     0.998
    2.480  -34.9734     0.000     0.998
    2.522  -34.9734     0.000     0.998
    2.563  -34.9734     0.000     0.998
    2.604  -34.9734     0.000     0.998
    2.645  -34.9734     0.000     0.998
    2.686  -34.9734     0.000     0.998
    2.727  -34.9734     0.000     0.998
    2.769  -34.9734     0.000     0.998
    2.810  -34.9734     0.000     0.998
    2.851  -34.9734     0.000     0.998
    2.892  -34.9734     0.000     0.998
    2.933  -34.9734     0.000     0.998
    2.974  -34.9734     0.000     0.998
 
# Band-Index:   14
    2.974  -34.9734     0.000     0.998
    2.933  -34.9734     0.000     0.998
    2.892  -34.9734     0.000     0.998
    2.851  -34.9734     0.000     0.998
    2.810  -34.9734     0.000     0.998
    2.769  -34.9734     0.000     0.998
    2.727  -34.9734     0.000     0.998
    2.686  -34.9734     0.000     0.998
    2.645  -34.9734     0.000     0.998
    2.604  -34.9734     0.000     0.998
    2.563  -34.9734     0.000     0.998
    2.522  -34.9734     0.000     0.998
    2.480  -34.9734     0.000     0.998
    2.439  -34.9734     0.000     0.998
    2.398  -34.9734     0.000     0.998
    2.357  -34.9734     0.000     0.998
    2.316  -34.9734     0.000     0.998
    2.275  -34.9734     0.000     0.998
    2.233  -34.9734     0.000     0.998
    2.192  -34.9734     0.000     0.998
    2.192  -34.9734     0.000     0.998
    2.145  -34.9734     0.000     0.998
    2.099  -34.9734     0.000     0.998
    2.052  -34.9734     0.000     0.998
    2.005  -34.9734     0.000     0.998
    1.959  -34.9734     0.000     0.998
    1.912  -34.9734     0.000     0.998
    1.865  -34.9734     0.000     0.998
    1.819  -34.9734     0.000     0.998
    1.772  -34.9734     0.000     0.998
    1.725  -34.9734     0.000     0.998
    1.679  -34.9734     0.000     0.998
    1.632  -34.9734     0.000     0.998
    1.585  -34.9734     0.000     0.998
    1.539  -34.9734     0.000     0.998
    1.492  -34.9734     0.000     0.998
    1.445  -34.9734     0.000     0.998
    1.399  -34.9734     0.000     0.998
    1.352  -34.9734     0.000     0.998
    1.305  -34.9734     0.000     0.999
    1.305  -34.9734     0.000     0.999
    1.258  -34.9734     0.000     0.998
    1.212  -34.9734     0.000     0.998
    1.165  -34.9734     0.000     0.998
    1.118  -34.9734     0.000     0.998
    1.072  -34.9734     0.000     0.998
    1.025  -34.9734     0.000     0.998
    0.978  -34.9734     0.000     0.998
    0.932  -34.9734     0.000     0.998
    0.885  -34.9734     0.000     0.998
    0.838  -34.9734     0.000     0.998
    0.792  -34.9734     0.000     0.998
    0.745  -34.9734     0.000     0.998
    0.698  -34.9734     0.000     0.998
    0.652  -34.9734     0.000     0.998
    0.605  -34.9734     0.000     0.998
    0.558  -34.9734     0.000     0.998
    0.511  -34.9734     0.000     0.998
    0.465  -34.9734     0.000     0.998
    0.418  -34.9734     0.000     0.998
    0.418  -34.9734     0.000     0.998
    0.396  -34.9734     0.000     0.998
    0.374  -34.9734     0.000     0.998
    0.352  -34.9734     0.000     0.998
    0.330  -34.9734     0.000     0.998
    0.308  -34.9734     0.000     0.998
    0.286  -34.9734     0.000     0.998
    0.264  -34.9734     0.000     0.998
    0.242  -34.9734     0.000     0.998
    0.220  -34.9734     0.000     0.998
    0.198  -34.9734     0.000     0.998
    0.176  -34.9734     0.000     0.998
    0.154  -34.9734     0.000     0.998
    0.132  -34.9734     0.000     0.998
    0.110  -34.9734     0.000     0.998
    0.088  -34.9734     0.000     0.998
    0.066  -34.9734     0.000     0.998
    0.044  -34.9734     0.000     0.998
    0.022  -34.9734     0.000     0.998
